"x","y","country","year","farm_id","hh_size","farm_area_ha"
-14.3172561483484,9.11427430068844,"Guinea_Bissau",2012,"Guinea_Bissau_00001",6,1.0856
-16.921696146162,13.1763930106104,"Guinea_Bissau",2012,"Guinea_Bissau_00006",7,1.0392
-14.3969762861958,11.661582175864,"Guinea_Bissau",2012,"Guinea_Bissau_00010",4,1.1583
-15.461232418833,12.5264894583561,"Guinea_Bissau",2012,"Guinea_Bissau_00015",4,1.4844
-12.0387829556868,9.88916116669814,"Guinea_Bissau",2012,"Guinea_Bissau_00021",5,0.7206
-15.3112064917516,12.6394847736128,"Guinea_Bissau",2012,"Guinea_Bissau_00029",5,0.9513
-13.2108518458669,11.1428994218643,"Guinea_Bissau",2012,"Guinea_Bissau_00031",6,0.931
-17.3743799767564,11.0713813237767,"Guinea_Bissau",2012,"Guinea_Bissau_00047",8,4.1836
-15.1494719521014,10.2182569143056,"Guinea_Bissau",2012,"Guinea_Bissau_00071",11,0.1693
-16.1984195607389,9.74056530215498,"Guinea_Bissau",2012,"Guinea_Bissau_00076",2,0.3011
-12.4677423852497,13.80075136609,"Guinea_Bissau",2012,"Guinea_Bissau_00079",4,2.0768
-13.2196834347945,13.2112556009812,"Guinea_Bissau",2012,"Guinea_Bissau_00081",8,3.6194
-14.5831089014612,11.7006888661748,"Guinea_Bissau",2012,"Guinea_Bissau_00083",5,1.2396
-14.8222053711298,12.1067613046548,"Guinea_Bissau",2012,"Guinea_Bissau_00091",5,1.7851
-16.8479864619997,12.5972426402365,"Guinea_Bissau",2012,"Guinea_Bissau_00094",8,2.0418
-15.3023744816654,10.284289239335,"Guinea_Bissau",2012,"Guinea_Bissau_00101",8,5.1552
-14.3053943662845,10.6517302064921,"Guinea_Bissau",2012,"Guinea_Bissau_00103",6,6.6051
-12.5707727540963,9.2206974261014,"Guinea_Bissau",2012,"Guinea_Bissau_00109",7,2.9501
-15.963127004474,7.23371942122949,"Guinea_Bissau",2012,"Guinea_Bissau_00112",6,0.8059
-16.3165998800266,13.8619592142532,"Guinea_Bissau",2012,"Guinea_Bissau_00118",2,1.5964
-13.4647749521112,13.0707834798835,"Guinea_Bissau",2012,"Guinea_Bissau_00129",4,2.039
-15.1159902775508,11.0927265821774,"Guinea_Bissau",2012,"Guinea_Bissau_00130",6,4.5499
-11.9875170646468,11.0237463533486,"Guinea_Bissau",2012,"Guinea_Bissau_00134",4,2.7414
-15.3305998046926,9.17071630548613,"Guinea_Bissau",2012,"Guinea_Bissau_00137",9,0.5883
-11.2825725208339,10.0568151012935,"Guinea_Bissau",2012,"Guinea_Bissau_00144",3,0.7878
-13.8770036508666,11.5649074060155,"Guinea_Bissau",2012,"Guinea_Bissau_00148",5,1.3449
-12.4248164397774,12.2999791337313,"Guinea_Bissau",2012,"Guinea_Bissau_00152",6,1.1247
-14.0054349544214,11.0634016932874,"Guinea_Bissau",2012,"Guinea_Bissau_00156",8,1.086
-12.261734514243,9.79148256675534,"Guinea_Bissau",2012,"Guinea_Bissau_00167",6,3.0745
-13.7731034491486,13.7867400168545,"Guinea_Bissau",2012,"Guinea_Bissau_00172",5,0.4429
-13.5651820704724,13.4932474052161,"Guinea_Bissau",2012,"Guinea_Bissau_00180",8,1.8972
-12.2955681493818,10.1025436468273,"Guinea_Bissau",2012,"Guinea_Bissau_00193",5,2.2743
-16.1206567830076,11.6110073025928,"Guinea_Bissau",2012,"Guinea_Bissau_00201",6,2.9575
-16.6403300258883,14.186152530403,"Guinea_Bissau",2012,"Guinea_Bissau_00203",6,1.8078
-13.8284485234916,9.88677205606001,"Guinea_Bissau",2012,"Guinea_Bissau_00205",9,0.9726
-15.8375725457774,14.0029355373234,"Guinea_Bissau",2012,"Guinea_Bissau_00206",8,0.401
-13.9389795853071,12.1446275261601,"Guinea_Bissau",2012,"Guinea_Bissau_00229",8,1.4171
-17.305583465287,9.63702044657951,"Guinea_Bissau",2012,"Guinea_Bissau_00236",5,0.9986
-11.5931624386286,12.5698376431443,"Guinea_Bissau",2012,"Guinea_Bissau_00237",6,1.6359
-15.6591292141122,12.1303932278558,"Guinea_Bissau",2012,"Guinea_Bissau_00239",5,3.3984
-15.0714939837076,10.7126861089384,"Guinea_Bissau",2012,"Guinea_Bissau_00250",3,1.2346
-13.8703712773948,13.1623768706264,"Guinea_Bissau",2012,"Guinea_Bissau_00261",3,2.316
-13.3408396593336,12.4680867926772,"Guinea_Bissau",2012,"Guinea_Bissau_00262",7,1.1828
-13.6385055621369,11.8149697817387,"Guinea_Bissau",2012,"Guinea_Bissau_00278",9,2.3738
-17.3076014354535,11.5246349458529,"Guinea_Bissau",2012,"Guinea_Bissau_00280",5,2.674
-15.4116584799218,12.2607191889637,"Guinea_Bissau",2012,"Guinea_Bissau_00281",8,3.0037
-13.901982822405,11.0579548191206,"Guinea_Bissau",2012,"Guinea_Bissau_00289",6,3.4231
-14.8310338231455,11.6379484911274,"Guinea_Bissau",2012,"Guinea_Bissau_00312",8,5.1967
