"x","y","country","year","farm_id","hh_size","farm_area_ha"
38.1323633956992,8.19650725705765,"Ethiopia",2014,"Ethiopia_00008",8,1.1737
37.9708846037543,8.49829199687543,"Ethiopia",2014,"Ethiopia_00022",7,3.0631
38.9381141308436,8.75057657185101,"Ethiopia",2014,"Ethiopia_00030",7,0.7218
37.548959287068,8.72901841815089,"Ethiopia",2014,"Ethiopia_00031",4,0.6359
37.4502866461089,7.12864567607068,"Ethiopia",2014,"Ethiopia_00044",8,2.0173
40.4298547491059,12.5536905386018,"Ethiopia",2014,"Ethiopia_00047",8,0.7006
37.2007178378648,9.20592789216079,"Ethiopia",2014,"Ethiopia_00048",4,0.6639
39.1181759596972,7.88862358000825,"Ethiopia",2014,"Ethiopia_00049",5,1.2624
34.0649982931474,8.68110847480891,"Ethiopia",2014,"Ethiopia_00050",5,1.1249
37.8594034372308,5.98098416348278,"Ethiopia",2014,"Ethiopia_00055",4,1.0475
38.3795146900935,5.49479766992259,"Ethiopia",2014,"Ethiopia_00059",8,1.1547
41.2685870036132,6.304775949201,"Ethiopia",2014,"Ethiopia_00066",12,2.8117
36.6701995911328,10.0056502049861,"Ethiopia",2014,"Ethiopia_00068",3,0.4263
35.2710087179245,8.7283260003059,"Ethiopia",2014,"Ethiopia_00071",6,7.9636
39.6569402194458,9.92234663902331,"Ethiopia",2014,"Ethiopia_00077",6,0.9229
38.5778968827986,8.39575509115966,"Ethiopia",2014,"Ethiopia_00082",4,0.7013
40.1796854900384,7.51768165750685,"Ethiopia",2014,"Ethiopia_00086",5,2.893
38.3022243545306,4.65470945177035,"Ethiopia",2014,"Ethiopia_00090",3,0.951
39.4779917978514,14.3887093229717,"Ethiopia",2014,"Ethiopia_00094",7,0.75
38.2488038816824,5.26738425038413,"Ethiopia",2014,"Ethiopia_00095",5,0.4007
36.8243703515774,12.3407197733865,"Ethiopia",2014,"Ethiopia_00101",6,0.797
37.5066592273071,8.75278097166532,"Ethiopia",2014,"Ethiopia_00119",4,1.318
36.880104476275,8.41738302409983,"Ethiopia",2014,"Ethiopia_00133",5,1.3557
39.6152393441847,10.5232348648803,"Ethiopia",2014,"Ethiopia_00139",7,2.8149
35.818737878873,9.52132326703714,"Ethiopia",2014,"Ethiopia_00140",7,1.4394
35.7723582020038,12.0693547753371,"Ethiopia",2014,"Ethiopia_00148",4,7.0582
39.0264959795743,6.80597451211874,"Ethiopia",2014,"Ethiopia_00168",8,0.5156
40.1156338680341,8.79477603742042,"Ethiopia",2014,"Ethiopia_00174",5,0.6536
38.1104939270018,10.1644630628872,"Ethiopia",2014,"Ethiopia_00176",7,3.8206
37.5521338553554,9.52249532362661,"Ethiopia",2014,"Ethiopia_00180",8,2.0537
38.6459154282483,10.2337111154428,"Ethiopia",2014,"Ethiopia_00184",7,0.294
40.3401366848223,7.57141443613623,"Ethiopia",2014,"Ethiopia_00186",7,0.6993
35.9210539589906,10.5302551888252,"Ethiopia",2014,"Ethiopia_00187",4,6.4995
39.7103209673167,11.3298129341388,"Ethiopia",2014,"Ethiopia_00197",5,0.9411
36.8591646646049,8.9792328540678,"Ethiopia",2014,"Ethiopia_00201",6,7.4449
38.6172429585299,11.4990724321111,"Ethiopia",2014,"Ethiopia_00202",4,0.4701
41.5600568482002,7.05943389008912,"Ethiopia",2014,"Ethiopia_00207",6,0.6527
35.8113941697433,10.9889197945225,"Ethiopia",2014,"Ethiopia_00219",5,1.7954
39.4494226698155,8.37680632520357,"Ethiopia",2014,"Ethiopia_00226",6,0.8847
38.7295536560527,5.61610120349842,"Ethiopia",2014,"Ethiopia_00232",9,1.0498
35.7131438328237,7.2786474000695,"Ethiopia",2014,"Ethiopia_00233",4,4.3459
40.4553181510225,5.909099949037,"Ethiopia",2014,"Ethiopia_00234",4,1.0574
36.9132093867706,9.81966864934012,"Ethiopia",2014,"Ethiopia_00244",7,1.6163
37.5709467796748,10.051897721352,"Ethiopia",2014,"Ethiopia_00246",3,1.6796
37.3555446726684,8.97641553638163,"Ethiopia",2014,"Ethiopia_00262",6,1.7842
36.1065058169424,11.9530543251892,"Ethiopia",2014,"Ethiopia_00265",9,0.3314
36.2830357653495,10.5653626831675,"Ethiopia",2014,"Ethiopia_00268",6,1.1007
38.6117706051823,8.9048681209143,"Ethiopia",2014,"Ethiopia_00273",4,2.862
38.5351441601214,10.4968916325867,"Ethiopia",2014,"Ethiopia_00289",5,0.8631
38.5773909787477,10.3450326937111,"Ethiopia",2014,"Ethiopia_00291",3,1.0461
42.0828779784944,8.38778308623968,"Ethiopia",2014,"Ethiopia_00296",4,2.9493
38.1001846237844,9.57762400364483,"Ethiopia",2014,"Ethiopia_00303",2,0.3296
33.4873552624533,11.131109948386,"Ethiopia",2014,"Ethiopia_00313",7,1.5851
